sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate
500101221,YouBike2.0_忠孝東路四段248巷口,15,0,大安區,2023-05-08 21:44:04,25.04132,121.55393,忠孝東路四段230號前,Daan Dist.,YouBike2.0_Ln. 248， Sec. 4， Zhongxiao E. Rd.,No. 230， Sec. 4， Zhongxiao E. Rd.,15,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:44:04,2023-05-08
500103013,YouBike2.0_台北數位產業園區,24,0,大同區,2023-05-08 21:49:03,25.07447,121.52003,承德路三段287號前方,Datong Dist,YouBike2.0_DigiBlock Taipei,No. 287， Sec. 3， Chengde Rd.,24,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:49:03,2023-05-08
500103025,YouBike2.0_捷運大橋頭站(1A出口),18,0,大同區,2023-05-08 21:41:04,25.06325,121.51162,民權西路237號旁,Datong Dist,YouBike2.0_MRT Daqiaotou Sta. (Exit 1A),No. 237， Minquan W Rd.,18,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:41:04,2023-05-08
500103026,YouBike2.0_捷運民權西路站(2號出口),25,0,大同區,2023-05-08 21:35:04,25.06174,121.51969,捷運民權西路站(2號出口)西側,Datong Dist,YouBike2.0_MRT Minquan W. Rd. Sta. (Exit 2),MRT Minquan W. Rd. Sta. (West),25,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:35:04,2023-05-08
500103030,YouBike2.0_永樂市場,38,0,大同區,2023-05-08 21:49:03,25.05454,121.51052,南京西路233巷103號旁,Datong Dist,YouBike2.0_Yongle Market,No. 103， Ln. 233， Nanjing W. Rd.,37,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:49:03,2023-05-08
500103033,YouBike2.0_圓山線形公園,14,0,大同區,2023-05-08 21:33:04,25.06867,121.51993,玉門街/民族西路(西北側),Datong Dist,YouBike2.0_Linear Park - Yuanshan,Minzu Rd. & Minzu W. Rd. Intersection (Northwest),14,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:33:04,2023-05-08
500103047,YouBike2.0_承德民權路口,17,0,大同區,2023-05-08 21:49:13,25.06247,121.51839,承德路二段239號前,Datong Dist,YouBike2.0_Chengde Rd. & Minquan Rd. Intersection,No. 239， Sec. 2， Chengde Rd.,17,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:49:13,2023-05-08
500103051,YouBike2.0_臺北轉運站(華陰街),20,0,大同區,2023-05-08 21:35:04,25.04937,121.51914,華陰街45號(對面),Datong Dist,YouBike2.0_Taipei Bus Station (Huayin St.),No. 45， Huayin St. (Opposite),20,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:35:04,2023-05-08
500103057,YouBike2.0_捷運圓山站(2號出口),37,0,大同區,2023-05-08 21:49:03,25.07182,121.51929,承德路三段/庫倫街(東南側),Datong Dist,YouBike2.0_MRT Yuanshan Sta. (Exit 2),Sec. 3， Chengde Rd. & Kulun St. Intersection (Southeast),37,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:49:03,2023-05-08
500103060,YouBike2.0_成淵高中,14,0,大同區,2023-05-08 21:44:04,25.06036,121.51996,錦西街與錦西街52巷口東北側,Datong Dist,YouBike2.0_ChengYuan High School,Jinxi St. & Ln. 52， Jinxi St. Intersection (Northeast),14,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:44:04,2023-05-08
500103062,YouBike2.0_寧夏涼州街口,15,0,大同區,2023-05-08 21:45:05,25.06095,121.51428,寧夏路141號對側,Datong Dist,YouBike2.0_Ningxia Rd. & Liangzhou St. Intersection,No. 141， Ningxia Rd. (Opposite),15,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:45:05,2023-05-08
500104005,YouBike2.0_雨聲街165巷口,15,0,士林區,2023-05-08 21:43:04,25.10277,121.53357,雨聲街/雨聲街165巷(西北側),Shilin Dist,YouBike2.0_Ln. 165， Yusheng St. Intersection,Ln. 165， Yusheng St. Intersection (Northwest),15,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:43:04,2023-05-08
500104010,YouBike2.0_忠誠路二段53巷,18,0,士林區,2023-05-08 21:26:04,25.11127,121.53244,忠誠路2段53巷7號(對面),Shilin Dist,YouBike2.0_Ln. 53， Sec. 2， Zhongcheng Rd.,No.7， Ln. 53， Sec. 2， Zhongcheng Rd. (Opposite),18,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:26:04,2023-05-08
500104016,YouBike2.0_劍潭海外青年活動中心,23,0,士林區,2023-05-08 21:14:04,25.07994,121.52426,中山北路4段/通河街口,Shilin Dist,YouBike2.0_Chientan Youth Activity Center,Sec. 4， Zhongshan N. Rd. & Tonghe St. Intersection,23,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:14:04,2023-05-08
500104018,YouBike2.0_忠誠路一段173巷口,11,0,士林區,2023-05-08 21:36:04,25.10813,121.5304,忠誠路一段177號(前),Shilin Dist,YouBike2.0_No. 173， Sec. 1， Zhongcheng Rd. Intersection,No. 177， Sec. 1， Zhongcheng Rd.,9,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:36:04,2023-05-08
500104027,YouBike2.0_百齡高中,15,0,士林區,2023-05-08 20:40:09,25.08736,121.52272,承德路四段179巷/承德路4段口,Shilin Dist,YouBike2.0_Bailing High School,Ln. 179， Sec. 4， Chengde Rd. Intersection,15,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 20:40:09,2023-05-08
500104028,YouBike2.0_捷運芝山站(2號出口),21,0,士林區,2023-05-08 21:36:04,25.10364,121.52219,福華路151號(對面),Shilin Dist,YouBike2.0_MRT Zhishan Station,No. 151， Fuhua Rd. (Opposite),21,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:36:04,2023-05-08
500104029,YouBike2.0_臺灣戲曲中心,14,0,士林區,2023-05-08 21:01:04,25.10208,121.51979,文林路751號(南側),Shilin Dist,YouBike2.0_Taiwan Traditional Theatre Center,No. 751， Wenlin Rd. (South),14,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:01:04,2023-05-08
500104030,YouBike2.0_捷運劍潭站(2號出口),79,0,士林區,2023-05-08 21:49:13,25.08288,121.52455,基河路18號(對面),Shilin Dist,YouBike2.0_MRT Jianta Station,No.18， Jihe Rd. (Opposite),79,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:49:13,2023-05-08
500104036,YouBike2.0_陽明高中,36,0,士林區,2023-05-08 21:29:04,25.09164,121.51706,中正路510號(前),Shilin Dist,YouBike2.0_Yangming High School,No. 510， Zhongzheng Rd.,36,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:29:04,2023-05-08
500104037,YouBike2.0_兒童新樂園,23,0,士林區,2023-05-08 19:21:04,25.09631,121.51449,承德路五段55號(旁公車亭),Shilin Dist,YouBike2.0_Taipei Children's Amusement Park,No. 55， Sec. 5， Chengde Rd.,23,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 19:21:04,2023-05-08
500104039,YouBike2.0_華聲公園,27,0,士林區,2023-02-03 10:09:04,25.09619,121.5223,華聲街17號(南側路側),Shilin Dist,YouBike2.0_Huasheng Park,No. 17， Huasheng St. (South),27,0,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-02-03 10:09:04,2023-02-03
500104040,YouBike2.0_福林公園,17,0,士林區,2023-05-08 21:37:04,25.09419,121.52833,福林路/中山北路五段(東北側),Shilin Dist,YouBike2.0_Fulin Park,Sec. 5， Zhongshan N. Rd. (Northwest),17,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:37:04,2023-05-08
500104041,YouBike2.0_捷運士林站(2號出口),30,0,士林區,2023-05-08 21:49:04,25.09343,121.52642,中山北路五段505巷44弄2號(對面),Shilin Dist,YouBike2.0_MRT Shilin Station (Exit 2),No. 2， Aly. 44， Ln. 505， Sec. 5， Zhongshan N. Rd. (Opposite),30,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:49:04,2023-05-08
500104042,YouBike2.0_銘傳大學,30,0,士林區,2023-03-16 20:11:04,25.08771,121.52677,中山北路五段250號(銘傳大學對側),Shilin Dist,YouBike2.0_Ming Chuan University Taipei Campus,No. 250， Sec. 5， Zhongshan N. Rd.,29,0,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-03-16 20:11:04,2023-03-16
500104046,YouBike2.0_捷運芝山站(1號出口),36,0,士林區,2023-05-08 21:49:13,25.10225,121.52286,福華路114號(對面),Shilin Dist,YouBike2.0_MRT Zhishan Sta. (Exit 1),No. 114， Fuhua Rd. (Opposite),36,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:49:13,2023-05-08
500104053,YouBike2.0_重慶北葫東街口,15,0,士林區,2023-05-08 21:46:04,25.08393,121.51169,重慶北路四段177號(前),Shilin Dist,YouBike2.0_Sec. 4， Chongqing N. Rd.& Hudong St Intersection,No. 177， Sec. 4， Chongqing N. Rd.,15,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:46:04,2023-05-08
500104075,YouBike2.0_中正基河路口,28,0,士林區,2023-05-08 21:30:21,25.0933,121.51962,中正路420號前,Shilin Dist,YouBike2.0_Jhongjheng Rd. & Jihe Rd. Intersection,No. 420， Jhongjheng Rd.,28,1,2023-05-08 21:49:29,2023-05-08 21:49:51,2023-05-08 21:30:21,2023-05-08
